chromosome	start	end	strand	gene_type	gene_name
chr1	2228319	2310213	+	protein_coding	SKI
chr1	2315040	2323085	+	lncRNA	ENSG00000287356
chr1	2321253	2391707	-	protein_coding	MORN1
chr1	2326201	2326693	-	lncRNA	ENSG00000272161
chr1	2350414	2352820	-	transcribed_processed_pseudogene	ENSG00000269896
chr1	2363061	2363628	-	lncRNA	ENSG00000272420
chr1	2391775	2405442	+	protein_coding	RER1
chr1	2403964	2413797	-	protein_coding	PEX10
chr1	2425980	2505532	+	protein_coding	PLCH2
chr1	2492300	2493258	-	lncRNA	ENSG00000224387
chr1	2493437	2494479	-	lncRNA	ENSG00000229393
chr1	2508537	2526597	-	protein_coding	PANK4
chr1	2528745	2530263	-	protein_coding	HES5
chr1	2530064	2547460	+	lncRNA	ENSG00000272449
chr1	2549920	2557031	-	lncRNA	TNFRSF14-AS1
chr1	2555639	2565382	+	protein_coding	TNFRSF14
chr1	2566410	2569888	+	TEC	ENSG00000225931
chr1	2581560	2584533	+	lncRNA	ENSG00000228037
chr1	2585612	2586060	+	lncRNA	ENSG00000289610
chr1	2586491	2591469	+	protein_coding	PRXL2B
chr1	2590639	2633016	-	protein_coding	MMEL1
chr1	2632568	2636620	+	lncRNA	MMEL1-AS1
chr1	2635976	2801717	-	protein_coding	TTC34
chr1	2768091	2784733	+	lncRNA	ENSG00000285945
chr1	2773603	2776473	+	lncRNA	ENSG00000283259
chr1	2811850	2812692	-	lncRNA	ENSG00000233234
chr1	2814056	2817767	+	lncRNA	ENSG00000287396
chr1	2814432	2814998	-	lncRNA	ENSG00000231630
chr1	2960658	2968707	-	lncRNA	ENSG00000284745
chr1	3021467	3022903	+	protein_coding	ACTRT2
chr1	3059611	3069088	-	lncRNA	PRDM16-DT
chr1	3069168	3438621	+	protein_coding	PRDM16
chr1	3127975	3128035	+	miRNA	MIR4251
chr1	3132927	3133709	-	lncRNA	ENSG00000226286
chr1	3205988	3208664	+	TEC	ENSG00000279839
chr1	3306636	3310096	-	lncRNA	ENSG00000272235
chr1	3313052	3323149	-	lncRNA	ENSG00000287828
chr1	3367815	3373928	-	lncRNA	ENSG00000286518
chr1	3454665	3481113	+	protein_coding	ARHGEF16
chr1	3487246	3487627	+	lncRNA	ENSG00000272088
chr1	3487951	3611508	-	protein_coding	MEGF6
chr1	3560695	3560790	-	miRNA	MIR551A
chr1	3622857	3624786	-	lncRNA	ENSG00000238260
chr1	3625015	3630127	+	protein_coding	TPRG1L
chr1	3630767	3652761	-	protein_coding	WRAP73
chr1	3652516	3736201	+	protein_coding	TP73
chr1	3658938	3668772	-	lncRNA	TP73-AS3
chr1	3712200	3714298	-	lncRNA	TP73-AS2
chr1	3735511	3747373	-	transcribed_unitary_pseudogene	TP73-AS1
chr1	3736943	3737103	+	misc_RNA	ENSG00000276189
chr1	3746460	3771645	+	protein_coding	CCDC27
chr1	3772749	3775982	+	protein_coding	SMIM1
chr1	3778559	3796498	-	protein_coding	LRRC47
chr1	3782815	3783111	+	misc_RNA	RN7SL574P
chr1	3785008	3785538	+	lncRNA	ENSG00000272153
chr1	3812086	3857396	-	protein_coding	CEP104
chr1	3857267	3885429	+	protein_coding	DFFB
chr1	3889125	3900293	-	protein_coding	C1orf174
chr1	3900352	3917225	+	lncRNA	LINC01134
chr1	3940486	3955262	+	lncRNA	LINC01346
chr1	3944547	3949024	-	lncRNA	LINC01345
chr1	3976133	4012704	+	lncRNA	LINC02780
chr1	4012921	4019508	-	lncRNA	ENSG00000284703
chr1	4175528	4175899	-	processed_pseudogene	EEF1DP6
chr1	4412027	4424689	+	lncRNA	LINC01777
chr1	4479131	4484375	-	lncRNA	ENSG00000284694
chr1	4551735	4552145	-	lncRNA	ENSG00000227169
chr1	4571481	4594016	+	lncRNA	LINC01646
chr1	4654609	4792534	+	protein_coding	AJAP1
chr1	4730211	4734992	-	lncRNA	ENSG00000287586
chr1	4963954	4973298	-	lncRNA	ENSG00000284739
chr1	4973381	4981568	+	lncRNA	LINC02781
chr1	5086459	5090899	-	lncRNA	LINC02782
chr1	5301928	5307394	-	lncRNA	ENSG00000284616
chr1	5478736	5493057	-	lncRNA	ENSG00000284692
chr1	5480787	5482028	-	lncRNA	ENSG00000284666
chr1	5492978	5494674	+	lncRNA	ENSG00000260972
chr1	5554747	5554881	+	unprocessed_pseudogene	ENSG00000283356
chr1	5561709	5668295	-	lncRNA	ENSG00000236948
chr1	5564071	5564143	+	miRNA	ENSG00000264341
chr1	5862672	5862741	-	miRNA	MIR4689
chr1	5862811	5992473	-	protein_coding	NPHP4
chr1	5990927	6101193	+	protein_coding	KCNAB2
chr1	6101787	6180321	-	protein_coding	CHD5
chr1	6159430	6197757	-	protein_coding	ENSG00000285629
chr1	6185020	6209389	-	protein_coding	RPL22
chr1	6204840	6205780	-	lncRNA	RNF207-AS1
chr1	6205475	6221299	+	protein_coding	RNF207
chr1	6221193	6235972	-	protein_coding	ICMT
chr1	6234692	6239444	+	lncRNA	ICMT-DT
chr1	6244179	6245578	+	protein_coding	HES3
chr1	6247353	6261098	-	protein_coding	GPR153
chr1	6264269	6393767	-	protein_coding	ACOT7
chr1	6393555	6394391	+	lncRNA	ENSG00000271746
chr1	6412418	6424670	-	protein_coding	HES2
chr1	6424776	6461367	+	protein_coding	ESPN
chr1	6429834	6429896	-	miRNA	MIR4252
chr1	6443034	6447006	-	lncRNA	ENSG00000231868
chr1	6460786	6466175	-	protein_coding	TNFRSF25
chr1	6467122	6520074	-	protein_coding	PLEKHG5
chr1	6521347	6554513	-	protein_coding	NOL9
chr1	6540854	6540964	+	snRNA	RNU6-731P
chr1	6547905	6548619	+	processed_pseudogene	ENSG00000229519
chr1	6555307	6579755	+	protein_coding	TAS1R1
chr1	6579994	6589280	+	protein_coding	ZBTB48
chr1	6590724	6614607	-	protein_coding	KLHL21
chr1	6613731	6624030	+	protein_coding	PHF13
chr1	6624868	6635586	+	protein_coding	THAP3
chr1	6634168	6701924	-	protein_coding	DNAJC11
chr1	6724637	6730012	+	lncRNA	LINC01672
chr1	6767954	6770038	+	lncRNA	ENSG00000284744
chr1	6783892	6784843	-	lncRNA	CAMTA1-DT
chr1	6785454	7769706	+	protein_coding	CAMTA1
chr1	6834333	6834618	-	processed_pseudogene	ENSG00000227950
chr1	7008376	7014279	-	lncRNA	ENSG00000237365
chr1	7219360	7219524	+	snRNA	RNU1-8P
chr1	7368942	7370270	+	lncRNA	CAMTA1-IT1
chr1	7382487	7389754	-	lncRNA	CAMTA1-AS2
chr1	7441096	7441554	-	lncRNA	CAMTA1-AS1
chr1	7693124	7694844	-	lncRNA	ENSG00000270171
chr1	7698303	7698872	-	lncRNA	ENSG00000270035
chr1	7700704	7700970	-	lncRNA	ENSG00000269978
chr1	7771296	7781432	+	protein_coding	VAMP3
chr1	7776383	7776775	+	lncRNA	ENSG00000269925
chr1	7784291	7845177	+	protein_coding	PER3
chr1	7810242	7827342	-	lncRNA	ENSG00000236266
chr1	7843083	7853512	-	protein_coding	UTS2
chr1	7915871	7943165	-	protein_coding	TNFRSF9
chr1	7942372	7942726	+	processed_pseudogene	ENSG00000270330
chr1	7954291	7985505	+	protein_coding	PARK7
chr1	7982881	7982983	-	misc_RNA	Y_RNA
chr1	7991134	8005312	+	lncRNA	ENSG00000284747
chr1	7998187	7999934	-	lncRNA	ENSG00000284716
chr1	8004404	8026309	-	protein_coding	ERRFI1
chr1	8026738	8122702	+	lncRNA	ERRFI1-DT
chr1	8057245	8058463	-	processed_pseudogene	ENSG00000232848
chr1	8189824	8192770	+	processed_pseudogene	ENSG00000229305
chr1	8191692	8194926	+	lncRNA	ENSG00000288816
chr1	8201518	8215210	+	lncRNA	LINC01714
chr1	8206434	8206597	-	snRNA	RNU1-7P
chr1	8218190	8220529	-	lncRNA	ENSG00000233645
chr1	8292157	8292263	-	snRNA	RNU6-991P
chr1	8318114	8344167	+	protein_coding	SLC45A1
chr1	8328067	8328179	+	misc_RNA	Y_RNA
chr1	8352397	8848921	-	protein_coding	RERE
chr1	8424645	8435013	+	lncRNA	RERE-AS1
chr1	8511795	8511919	-	snoRNA	ENSG00000221083
chr1	8512653	8513021	+	processed_pseudogene	ENSG00000270282
chr1	8750430	8751087	+	processed_pseudogene	RPL7P11
chr1	8786211	8786913	-	processed_pseudogene	RPL7P7
chr1	8796571	8796673	-	misc_RNA	Y_RNA
chr1	8798475	8799506	+	unprocessed_pseudogene	ENSG00000226545
chr1	8805860	8807051	-	lncRNA	ENSG00000228423
chr1	8831007	8831375	+	processed_pseudogene	RPL23AP19
chr1	8861000	8879190	-	protein_coding	ENO1
chr1	8866502	8866590	-	miRNA	MIR6728
chr1	8878835	8879894	+	lncRNA	ENO1-AS1
chr1	8883427	8883533	-	snRNA	RNU6-304P
chr1	8893409	8894151	+	processed_pseudogene	HMGN2P17
chr1	8907393	8907744	-	processed_pseudogene	ENSG00000232208
chr1	8909742	8909904	+	processed_pseudogene	ENSG00000232663
chr1	8945867	8975092	+	protein_coding	CA6
chr1	8979576	8979874	-	misc_RNA	RN7SL451P
chr1	9002973	9026423	-	protein_coding	SLC2A7
chr1	9035106	9088478	-	protein_coding	SLC2A5
chr1	9082696	9082879	+	scaRNA	ENSG00000252404
chr1	9100305	9129102	-	protein_coding	GPR157
chr1	9148011	9198906	-	lncRNA	MIR34AHG
chr1	9151668	9151777	-	miRNA	MIR34A
chr1	9182004	9196284	+	lncRNA	LNCTAM34A
chr1	9234774	9271337	+	protein_coding	H6PD
chr1	9292894	9369532	+	protein_coding	SPSB1
chr1	9421098	9422862	-	lncRNA	ENSG00000284652
chr1	9425094	9440564	-	lncRNA	LINC02606
chr1	9437669	9437778	-	rRNA_pseudogene	RNA5SP40
chr1	9501092	9503471	-	lncRNA	ENSG00000235263
chr1	9539465	9585173	+	protein_coding	SLC25A33
chr1	9576427	9576985	+	processed_pseudogene	ENSG00000231181
chr1	9588911	9614877	+	protein_coding	TMEM201
chr1	9651731	9729114	+	protein_coding	PIK3CD
chr1	9652610	9654586	-	lncRNA	PIK3CD-AS1
chr1	9660828	9662626	-	processed_pseudogene	ENSG00000233268
chr1	9672405	9687573	-	lncRNA	PIK3CD-AS2
chr1	9728926	9823984	-	protein_coding	CLSTN1
chr1	9780822	9781240	+	processed_pseudogene	MZT1P1
chr1	9826289	9828271	-	TEC	ENSG00000280113
chr1	9848276	9910336	-	protein_coding	CTNNBIP1
chr1	9848318	9850154	+	lncRNA	ENSG00000223989
chr1	9900614	9908034	+	lncRNA	ENSG00000285701
chr1	9922113	9943407	-	protein_coding	LZIC
chr1	9942923	9949974	+	lncRNA	ENSG00000228150
chr1	9943428	9985501	+	protein_coding	NMNAT1
chr1	9947318	9947636	+	misc_RNA	RN7SKP269
chr1	9950572	9960787	-	unitary_pseudogene	TMEM274P
chr1	9967381	9967458	+	miRNA	MIR5697
chr1	9983141	9984568	+	lncRNA	ENSG00000241326
chr1	9997206	10016021	+	protein_coding	RBP7
chr1	10032832	10181239	+	protein_coding	UBE4B
chr1	10054445	10054781	-	processed_pseudogene	ENSG00000224340
chr1	10058671	10059648	+	processed_pseudogene	PGAM1P11
chr1	10163268	10163374	+	snRNA	RNU6-828P
chr1	10210570	10381603	+	protein_coding	KIF1B
chr1	10227718	10227803	+	miRNA	ENSG00000264881
chr1	10298966	10299072	+	snRNA	RNU6-37P
chr1	10306465	10306757	+	misc_RNA	RN7SL731P
chr1	10381906	10387150	-	lncRNA	ENSG00000284735
chr1	10395416	10397432	+	lncRNA	ENSG00000284642
chr1	10398592	10420511	+	protein_coding	PGD
chr1	10429881	10430677	-	lncRNA	ENSG00000271989
chr1	10430102	10452153	+	protein_coding	CENPS-CORT
chr1	10430433	10442808	+	protein_coding	CENPS
chr1	10450031	10451998	+	protein_coding	CORT
chr1	10456522	10472529	-	protein_coding	DFFA
chr1	10458555	10459338	+	lncRNA	ENSG00000203469
chr1	10472288	10630758	+	protein_coding	PEX14
chr1	10612222	10616452	-	lncRNA	ENSG00000287727
chr1	10616836	10617115	+	misc_RNA	RN7SL614P
chr1	10636604	10796650	-	protein_coding	CASZ1
chr1	10639241	10654333	+	lncRNA	ENSG00000272078
chr1	10895761	10895998	+	processed_pseudogene	HSPE1P24
chr1	10946471	10982037	-	protein_coding	C1orf127
chr1	10990978	10991797	-	processed_pseudogene	CFL1P6
chr1	11012344	11030528	+	protein_coding	TARDBP
chr1	11026523	11047239	-	protein_coding	MASP2
chr1	11054584	11060020	-	protein_coding	SRM
chr1	11066618	11099869	-	protein_coding	EXOSC10
chr1	11068471	11073097	+	lncRNA	ENSG00000226849
chr1	11099430	11102100	+	lncRNA	EXOSC10-AS1
chr1	11106535	11262551	-	protein_coding	MTOR
chr1	11143898	11149537	+	lncRNA	MTOR-AS1
chr1	11152350	11152452	+	snRNA	RNU6-537P
chr1	11189355	11195981	+	protein_coding	ANGPTL7
chr1	11226254	11226360	+	snRNA	RNU6-291P
chr1	11232963	11233112	+	processed_pseudogene	RPL39P6
chr1	11273198	11296049	+	protein_coding	UBIAD1
chr1	11278616	11279351	-	processed_pseudogene	UBE2V2P3
chr1	11311734	11319093	-	lncRNA	ENSG00000284646
chr1	11425257	11425821	-	processed_pseudogene	MTCYBP45
chr1	11479155	11537551	+	protein_coding	DISP3
chr1	11500803	11502016	-	lncRNA	ENSG00000285833
chr1	11609468	11613358	+	lncRNA	LINC01647
chr1	11623558	11643416	+	lncRNA	ENSG00000284708
chr1	11637018	11655785	-	protein_coding	FBXO2
chr1	11654375	11663327	+	protein_coding	FBXO44
chr1	11664200	11674354	+	protein_coding	FBXO6
chr1	11674480	11691650	-	protein_coding	MAD2L2
chr1	11691710	11725857	+	protein_coding	DRAXIN
chr1	11736084	11754802	+	protein_coding	AGTRAP
chr1	11761787	11789585	+	protein_coding	C1orf167
chr1	11777077	11779619	-	lncRNA	C1orf167-AS1
chr1	11785723	11806455	-	protein_coding	MTHFR
chr1	11806096	11848079	+	protein_coding	CLCN6
chr1	11843812	11843984	+	misc_RNA	ENSG00000276470
chr1	11845549	11845697	+	misc_RNA	ENSG00000278852
chr1	11845709	11848345	-	protein_coding	NPPA
chr1	11847442	11847549	+	misc_RNA	ENSG00000275915
chr1	11857464	11858945	-	protein_coding	NPPB
chr1	11877770	11880406	+	processed_pseudogene	SBF1P2
chr1	11907940	11914298	+	lncRNA	ENSG00000285646
chr1	11908152	11908271	+	snRNA	RNU5E-1
chr1	11909808	11909927	-	snRNA	RNU5E-4P
chr1	11919591	11926428	-	protein_coding	KIAA2013
chr1	11934205	11975538	+	protein_coding	PLOD1
chr1	11979533	11980127	-	lncRNA	ENSG00000287384
chr1	11980181	12015211	+	protein_coding	MFN2
chr1	12017216	12017308	-	processed_pseudogene	ENSG00000270914
chr1	12019466	12032045	+	protein_coding	MIIP
chr1	12024012	12024124	-	misc_RNA	Y_RNA
chr1	12029158	12029222	+	miRNA	MIR6729
chr1	12036740	12037014	-	misc_RNA	RN7SL649P
chr1	12063303	12144207	+	protein_coding	TNFRSF8
chr1	12077881	12077984	-	snRNA	RNU6-777P
chr1	12080293	12080547	-	processed_pseudogene	RPL23AP89
chr1	12088441	12092264	-	lncRNA	ENSG00000285604
chr1	12166943	12167038	+	miRNA	MIR7846
chr1	12166991	12209228	+	protein_coding	TNFRSF1B
chr1	12191713	12191773	+	miRNA	MIR4632
chr1	12220794	12221109	-	processed_pseudogene	RPL10P17
chr1	12221148	12221271	-	snoRNA	SNORA70
chr1	12230030	12512047	+	protein_coding	VPS13D
chr1	12507246	12507397	+	snoRNA	SNORA59A
chr1	12525738	12530462	+	lncRNA	LINC02766
chr1	12567910	12618210	-	protein_coding	DHRS3
chr1	12569972	12570072	-	snRNA	RNU6ATAC18P
chr1	12578957	12579023	-	miRNA	MIR6730
chr1	12618389	12618987	+	lncRNA	ENSG00000288927
chr1	12618900	12619244	-	lncRNA	ENSG00000272482
chr1	12644085	12667076	+	protein_coding	AADACL4
chr1	12692909	12693020	+	processed_pseudogene	ENSG00000226166
chr1	12716110	12728760	+	protein_coding	AADACL3
chr1	12746200	12763699	+	protein_coding	CFAP107
chr1	12773738	12777906	+	protein_coding	PRAMEF12
chr1	12791397	12796628	+	protein_coding	PRAMEF1
chr1	12822686	12823159	-	lncRNA	LINC01784
chr1	12824605	12831410	-	protein_coding	PRAMEF11
chr1	12838125	12841357	-	unprocessed_pseudogene	PRAMEF30P
chr1	12847377	12848720	-	protein_coding	HNRNPCL1
chr1	12857086	12861909	+	protein_coding	PRAMEF2
chr1	12879212	12886201	-	protein_coding	PRAMEF4
chr1	12892896	12898270	-	protein_coding	PRAMEF10
chr1	12916610	12920482	+	protein_coding	PRAMEF7
chr1	12922554	12922660	+	snRNA	RNU6-1072P
chr1	12926162	12928253	+	unprocessed_pseudogene	PRAMEF29P
chr1	12938472	12947580	-	protein_coding	PRAMEF6
chr1	13029339	13032130	+	unprocessed_pseudogene	PRAMEF28P
chr1	13049476	13056575	-	protein_coding	PRAMEF27
chr1	13060769	13062878	+	protein_coding	HNRNPCL3
chr1	13068677	13077884	+	protein_coding	PRAMEF25
chr1	13095179	13097971	-	unprocessed_pseudogene	PRAMEF34P
chr1	13104403	13105689	-	unprocessed_pseudogene	PRAMEF35P
chr1	13115488	13116854	-	protein_coding	HNRNPCL2
chr1	13128818	13131615	+	transcribed_unprocessed_pseudogene	PRAMEF36P
chr1	13146981	13147460	-	lncRNA	ENSG00000233336
chr1	13148907	13156009	-	protein_coding	PRAMEF26
chr1	13163914	13165631	-	protein_coding	HNRNPCL4
chr1	13171848	13179459	+	protein_coding	PRAMEF9
chr1	13196188	13201409	-	protein_coding	PRAMEF13
chr1	13222705	13226106	-	protein_coding	PRAMEF18
chr1	13245863	13248652	+	unprocessed_pseudogene	PRAMEF31P
chr1	13254212	13263314	+	protein_coding	PRAMEF5
chr1	13273539	13275627	-	unprocessed_pseudogene	PRAMEF32P
chr1	13279125	13279231	-	snRNA	RNU6-771P
chr1	13281035	13285174	-	protein_coding	PRAMEF8
chr1	13303539	13308907	+	protein_coding	PRAMEF33
chr1	13315581	13322598	+	protein_coding	PRAMEF15
chr1	13324039	13324518	+	lncRNA	ENSG00000228229
chr1	13341892	13347134	-	protein_coding	PRAMEF14
chr1	13369067	13371900	-	protein_coding	PRAMEF19
chr1	13389632	13392629	+	protein_coding	PRAMEF17
chr1	13416351	13421328	+	protein_coding	PRAMEF20
chr1	13474973	13514003	-	protein_coding	LRRC38
chr1	13513220	13516270	+	lncRNA	ENSG00000259961
chr1	13555001	13555694	+	processed_pseudogene	BRWD1P1
chr1	13583465	13617957	+	protein_coding	PDPN
chr1	13623184	13623284	-	rRNA_pseudogene	RNA5SP41
chr1	13657311	13659910	-	lncRNA	ENSG00000237445
chr1	13696070	13696199	-	scaRNA	ENSG00000253085
chr1	13700188	13825079	+	protein_coding	PRDM2
chr1	13757778	13758465	+	lncRNA	ENSG00000289380
chr1	13892792	15118043	+	protein_coding	KAZN
chr1	14124233	14124335	-	snRNA	RNU6-1265P
chr1	14221887	14304445	-	lncRNA	ENSG00000231606
chr1	14338825	14419973	-	lncRNA	KAZN-AS1
chr1	14692129	14692613	-	processed_pseudogene	TBCAP2
