Gene Symbol	Gene ID	Cytoband	P2_LG	P6_LG	P7_LG	P8_LG	P1_LG	P4_LG	P5_LG	P9_LG	P8_2_LG
LOC100288069	100288069	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	0.049	0.170	-0.377
FAM87B	400728	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.377
LINC00115	79854	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.377
LINC01128	643837	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.377
FAM41C	284593	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.377
LOC100130417	100130417	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.377
SAMD11	148398	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.377
NOC2L	26155	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.525
KLHL17	339451	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
PLEKHN1	84069	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
PERM1	84808	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
HES4	57801	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
ISG15	9636	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
AGRN	375790	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
RNF223	401934	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
C1orf159	54991	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
LINC01342	254099	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
MIR200A	406983	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
MIR200B	406984	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
MIR429	554210	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
TTLL10	254173	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
TNFRSF18	8784	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
TNFRSF4	7293	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
SDF4	51150	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
B3GALT6	126792	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
FAM132A	388581	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
UBE2J2	118424	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
SCNN1D	6339	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
ACAP3	116983	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
MIR6726	102465434	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
CPSF3L	54973	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
MIR6727	102465435	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
PUSL1	126789	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
CPTP	80772	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
TAS1R3	83756	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
DVL1	1855	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
MIR6808	102466740	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	0.170	-0.746
MXRA8	54587	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	-0.116	-0.821
AURKAIP1	54998	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	-0.259	-0.972
CCNL2	81669	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	-0.259	-0.972
LOC148413	148413	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	-0.259	-0.972
MRPL20	55052	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	-0.259	-0.972
ANKRD65	441869	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	-0.259	-0.972
LOC102724312	102724312	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	-0.259	-0.972
TMEM88B	643965	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	-0.259	-0.972
VWA1	64856	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	-0.259	-0.972
ATAD3C	219293	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	-0.259	-0.972
ATAD3B	83858	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	-0.781	-0.259	-0.972
ATAD3A	55210	1p36.33	0.086	-0.030	0.151	0.035	0.080	-0.242	-0.781	-0.259	-0.972
TMEM240	339453	1p36.33	0.086	-0.030	0.151	0.035	0.122	-0.242	-0.781	-0.259	-0.972
SSU72	29101	1p36.33	0.086	-0.030	0.151	0.035	0.122	-0.242	-0.781	-0.259	-0.972
FNDC10	643988	1p36.33	0.086	-0.030	0.151	0.035	0.122	-0.242	-0.781	-0.259	-0.972
MIB2	142678	1p36.33	0.086	-0.030	0.151	0.035	0.122	-0.242	-0.655	-0.259	-0.972
CDK11B	984	1p36.33	0.241	-0.030	0.151	0.035	0.122	-0.242	-0.465	-0.259	-0.972
MMP23A	8511	1p36.33	0.319	-0.030	0.151	0.035	0.122	-0.242	-0.465	-0.259	-0.972
MMP23B	8510	1p36.33	0.086	-0.030	0.151	0.035	0.122	-0.242	-0.465	-0.259	-0.972
SLC35E2B	728661	1p36.33	0.552	-0.030	0.151	0.035	0.122	-0.242	-0.465	-0.259	-0.972
CDK11A	728642	1p36.33	0.552	-0.030	0.151	0.035	0.122	-0.242	-0.465	-0.259	-0.972
SLC35E2	9906	1p36.33	0.552	-0.030	0.151	0.035	0.122	-0.242	-0.465	-0.259	-0.972
NADK	65220	1p36.33	0.326	-0.030	0.151	0.035	0.122	-0.242	-0.465	-0.259	-0.972
GNB1	2782	1p36.33	0.100	-0.030	0.151	0.035	0.122	-0.242	-0.465	-0.259	-0.972
CALML6	163688	1p36.33	0.100	-0.030	0.151	0.035	0.122	-0.242	-0.465	-0.259	-0.972
TMEM52	339456	1p36.33	0.100	-0.030	0.151	0.035	0.122	-0.242	-0.678	-0.259	-0.972
CFAP74	85452	1p36.33	0.100	-0.030	0.151	0.035	0.122	-0.242	-0.891	-0.259	-0.972
GABRD	2563	1p36.33	0.100	-0.030	0.151	0.035	0.122	-0.242	-0.891	-0.259	-0.972
LOC105378591	105378591	1p36.33	0.100	-0.030	0.151	0.035	0.122	-0.242	-0.891	-0.259	-0.972
PRKCZ	5590	1p36.33	0.100	-0.030	0.151	0.035	0.122	-0.242	-0.891	-0.259	-0.972
FAAP20	199990	1p36.33	0.100	-0.030	0.151	0.035	0.122	-0.242	-0.891	-0.259	-0.972
SKI	6497	1p36.33	0.100	-0.030	0.151	0.035	0.122	-0.242	-0.891	-0.259	-0.972
MORN1	79906	1p36.32	0.100	-0.030	0.151	0.035	0.122	-0.242	-0.891	-0.259	-0.903
LOC100129534	100129534	1p36.32	0.100	-0.030	0.151	0.035	0.122	-0.242	-0.891	-0.259	-0.972
RER1	11079	1p36.32	0.100	-0.030	0.151	0.035	0.122	-0.242	-0.891	0.028	-0.629
PEX10	5192	1p36.32	0.100	-0.030	0.151	0.035	0.122	-0.242	-0.891	0.459	-0.629
PLCH2	9651	1p36.32	0.100	-0.030	0.151	0.035	0.122	-0.242	-0.891	0.459	-0.629
PANK4	55229	1p36.32	0.100	-0.030	0.151	0.035	0.122	-0.242	-0.891	0.459	-0.629
HES5	388585	1p36.32	0.100	-0.030	0.151	0.035	0.122	-0.242	-0.891	0.459	-0.629
LOC115110	115110	1p36.32	0.100	-0.030	0.151	0.035	0.122	-0.242	-0.891	0.459	-0.629
TNFRSF14	8764	1p36.32	0.100	-0.030	0.151	0.035	0.122	-0.242	-0.891	0.459	-0.629
LOC100996583	100996583	1p36.32	0.100	-0.030	0.151	0.035	0.122	-0.242	-0.891	0.459	-0.629
FAM213B	127281	1p36.32	0.100	-0.030	0.151	0.035	0.122	-0.242	-0.891	0.459	-0.629
MMEL1	79258	1p36.32	0.538	-0.030	0.151	0.035	0.122	-0.242	-0.891	0.459	-0.629
TTC34	100287898	1p36.32	1.330	-0.030	0.151	0.035	0.122	-0.242	-0.920	0.459	-0.629
ACTRT2	140625	1p36.32	0.120	-0.030	0.151	0.035	0.122	-0.242	-1.178	0.459	-0.629
LINC00982	440556	1p36.32	0.120	-0.030	0.151	0.035	0.122	-0.242	-1.178	0.459	-0.629
PRDM16	63976	1p36.32	0.120	-0.030	0.151	0.035	0.122	-0.242	-1.178	0.459	-0.629
MIR4251	100422968	1p36.32	0.120	-0.030	0.151	0.035	0.122	-0.242	-1.178	0.459	-0.629
ARHGEF16	27237	1p36.32	0.120	-0.030	0.151	0.035	0.122	-0.242	-1.178	0.459	-0.629
MEGF6	1953	1p36.32	0.120	-0.030	0.151	0.035	0.122	-0.242	-1.127	0.459	-0.629
MIR551A	693135	1p36.32	0.120	-0.030	0.151	0.035	0.122	-0.242	-1.178	0.459	-0.629
hsa-mir-551a	-612	1p36.32	0.120	-0.030	0.151	0.035	0.122	-0.242	-1.178	0.459	-0.629
TPRG1L	127262	1p36.32	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	0.459	-0.629
WRAP73	49856	1p36.32	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	0.459	-0.629
TP73	7161	1p36.32	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	0.459	-0.629
TP73-AS1	57212	1p36.32	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	0.459	-0.629
CCDC27	148870	1p36.32	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.187	-0.823
LRRC47	57470	1p36.32	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.187	-0.952
SMIM1	388588	1p36.32	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.187	-0.952
CEP104	9731	1p36.32	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.187	-0.952
DFFB	1677	1p36.32	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.187	-0.952
C1orf174	339448	1p36.32	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.187	-0.952
LINC01134	100133612	1p36.32	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	0.173	-0.727
LINC01346	728716	1p36.32	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	0.413	-0.577
LOC284661	284661	1p36.32	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	0.413	-0.577
AJAP1	55966	1p36.32	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	0.413	-0.577
MIR4417	100616489	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	0.413	-0.577
MIR4689	100616421	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	0.413	-0.577
NPHP4	261734	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	0.297	-0.646
KCNAB2	8514	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	0.104	-0.761
CHD5	26038	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.014	-0.796
RPL22	6146	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.221	-0.857
LOC102724450	102724450	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.221	-0.857
RNF207	388591	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.221	-0.857
ICMT	23463	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.221	-0.857
HES3	390992	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.037	-0.857
LINC00337	148645	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.221	-0.857
GPR153	387509	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	0.146	-0.857
ACOT7	11332	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.059	-0.857
HES2	54626	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.264	-0.857
ESPN	83715	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.264	-0.857
MIR4252	100422975	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.264	-0.857
TNFRSF25	8718	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.264	-0.857
PLEKHG5	57449	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.264	-1.006
NOL9	79707	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.264	-1.056
TAS1R1	80835	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.264	-1.056
ZBTB48	3104	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.264	-1.056
KLHL21	9903	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.264	-1.056
PHF13	148479	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.264	-1.056
THAP3	90326	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.264	-1.056
DNAJC11	55735	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.264	-1.056
LOC100505887	100505887	1p36.31	0.120	-0.030	0.151	0.035	0.122	-0.242	-0.793	-0.264	-1.056
CAMTA1	23261	1p36.31	0.120	-0.030	0.151	0.045	0.122	-0.242	-0.793	-0.264	-0.779
VAMP3	9341	1p36.23	0.120	-0.030	0.151	0.202	0.122	-0.242	-0.793	-0.264	-0.955
PER3	8863	1p36.23	0.120	-0.030	0.151	0.202	0.122	-0.242	-0.793	-0.264	-0.955
UTS2	10911	1p36.23	0.120	-0.030	0.151	0.202	0.122	-0.242	-0.793	-0.264	-0.955
TNFRSF9	3604	1p36.23	0.120	-0.030	0.151	0.202	0.122	-0.242	-0.793	-0.264	-0.955
PARK7	11315	1p36.23	0.120	-0.030	0.151	0.202	0.122	-0.242	-0.793	-0.264	-0.955
ERRFI1	54206	1p36.23	0.120	-0.030	0.151	0.202	0.122	-0.242	-0.793	-0.264	-0.955
LOC102724539	102724539	1p36.23	0.120	-0.030	0.151	0.202	0.122	-0.242	-0.793	-0.264	-0.955
SLC45A1	50651	1p36.23	0.120	-0.030	0.151	0.202	0.122	-0.242	-0.793	-0.264	-0.872
RERE	473	1p36.23	0.120	-0.030	0.151	0.202	0.122	-0.242	0.052	-0.264	-0.506
LOC102724552	102724552	1p36.23	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.264	-0.706
SNORD128	106632271	1p36.23	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.264	-0.706
ENO1	2023	1p36.23	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.264	-0.335
MIR6728	102465436	1p36.23	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.264	-0.335
ENO1-AS1	100505975	1p36.23	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.264	-0.335
CA6	765	1p36.23	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.264	-0.335
SLC2A7	155184	1p36.23	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.264	-0.335
SLC2A5	6518	1p36.23	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.264	-0.335
GPR157	80045	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.264	-0.335
MIR34AHG	106614088	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.264	-0.335
MIR34A	407040	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.264	-0.335
LOC102724571	102724571	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.264	-0.335
H6PD	9563	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.264	-0.335
SPSB1	80176	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.264	-0.335
LOC100506022	100506022	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.264	-0.335
SLC25A33	84275	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.264	-0.335
TMEM201	199953	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.264	-0.335
PIK3CD-AS1	644997	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.264	-0.335
PIK3CD	5293	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.264	-0.335
PIK3CD-AS2	101929074	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.264	-0.335
CLSTN1	22883	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.433	-0.335
CTNNBIP1	56998	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.484	-0.511
LZIC	84328	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.484	-0.653
NMNAT1	64802	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.484	-0.653
MIR5697	100847055	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.484	-0.653
RBP7	116362	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.484	-0.653
UBE4B	10277	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.484	-0.653
KIF1B	23095	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.484	-0.444
MIR1273D	100422970	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.484	-0.653
RNU6-1|chr1	26827	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.484	-0.312
RNU6-2|chr1	103625684	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.484	-0.312
RNU6-7|chr1	101954275	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.484	-0.312
RNU6-8|chr1	101954278	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.484	-0.312
PGD	5226	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.484	-0.553
APITD1-CORT	100526739	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.484	-0.553
CENPS	378708	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.484	-0.553
CORT	1325	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.484	-0.553
DFFA	1676	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.104	-0.484	-0.553
PEX14	5195	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.053	-0.283	-0.106
CASZ1	54897	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	-0.453	0.252	0.410
C1orf127	148345	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	-0.279	-0.291	-0.512
TARDBP	23435	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.010	-0.471	-0.512
MASP2	10747	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.010	-0.471	-0.512
SRM	6723	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.010	-0.471	-0.512
EXOSC10	5394	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.010	-0.471	-0.512
LOC105376736	105376736	1p36.22	0.120	-0.030	0.151	0.202	0.122	-0.242	0.010	-0.471	-0.512
MTOR	2475	1p36.22	0.120	-0.030	-0.017	0.202	0.122	-0.242	0.010	-0.309	-0.373
MTOR-AS1	100873935	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.010	-0.248	-0.342
ANGPTL7	10218	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.010	-0.248	-0.342
UBIAD1	29914	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.010	-0.248	-0.195
DISP3	57540	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.010	-0.248	0.099
LOC101929181	101929181	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.010	-0.248	0.099
FBXO2	26232	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.010	-0.248	-0.100
FBXO44	93611	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.010	-0.248	-0.299
FBXO6	26270	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.010	-0.248	-0.299
MAD2L2	10459	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.010	-0.248	-0.299
DRAXIN	374946	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.010	-0.248	-0.299
AGTRAP	57085	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.010	-0.248	-0.299
C1orf167	284498	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.010	-0.248	-0.299
LOC102724659	102724659	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.010	-0.248	-0.299
MTHFR	4524	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.161	-0.248	-0.299
CLCN6	1185	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.387	-0.248	-0.299
NPPA-AS1	100379251	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.387	-0.248	-0.299
NPPA	4878	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.387	-0.248	-0.299
NPPB	4879	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.387	-0.248	-0.299
RNU5E-1	26829	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.387	-0.248	-0.299
KIAA2013	90231	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.387	-0.248	-0.299
PLOD1	5351	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.387	-0.248	-0.299
MFN2	9927	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.387	-0.248	-0.299
MIIP	60672	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.387	-0.248	-0.299
MIR6729	102466982	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.387	-0.248	-0.299
TNFRSF8	943	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.387	-0.248	-0.299
MIR7846	102465836	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.387	-0.248	-0.299
TNFRSF1B	7133	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.387	-0.248	-0.299
MIR4632	100616438	1p36.22	0.120	-0.030	-0.034	0.202	0.122	-0.242	0.387	-0.248	-0.299
VPS13D	55187	1p36.22	0.120	-0.030	-0.034	0.202	-0.022	-0.242	-0.070	-0.166	-0.108
SNORA59A|chr1	677885	1p36.21	0.120	-0.030	-0.034	0.202	-0.056	-0.242	-0.126	-0.103	-0.037
DHRS3	9249	1p36.21	0.120	-0.030	-0.034	0.202	-0.056	-0.242	-0.126	-0.103	-0.037
MIR6730	102466722	1p36.21	0.120	-0.030	-0.034	0.202	-0.056	-0.242	-0.126	-0.103	-0.037
AADACL4	343066	1p36.21	0.120	-0.030	-0.034	0.202	-0.056	-0.242	-0.126	-0.103	-0.037
AADACL3	126767	1p36.21	0.120	-0.030	-0.034	0.202	-0.056	-0.242	-0.126	-0.103	-0.037
C1orf158	93190	1p36.21	0.120	-0.030	-0.034	0.202	-0.056	-0.242	-0.126	-0.103	-0.037
PRAMEF12	390999	1p36.21	0.120	-0.030	-0.034	-0.141	-0.056	-0.242	-0.126	-0.103	-0.037
PRAMEF1	65121	1p36.21	0.120	-0.030	-0.034	-0.483	-0.056	-0.242	-0.126	-0.103	-0.037
PRAMEF11	440560	1p36.21	0.120	-0.030	-0.034	-0.483	-0.056	-0.242	-0.126	-0.103	-0.037
HNRNPCL1	343069	1p36.21	0.120	-0.030	-0.034	-0.483	-0.056	-0.242	-0.126	-0.103	-0.037
