chromosome	start	end	strand	gene_name	gene_type
chr1	800879	817712	-	ENSG00000230092	transcribed_unprocessed_pseudogene
chr1	817371	819837	+	FAM87B	lncRNA
chr1	825138	859446	+	LINC01128	lncRNA
chr1	826206	827522	-	LINC00115	lncRNA
chr1	860226	868202	+	ENSG00000288531	lncRNA
chr1	868071	876903	-	FAM41C	lncRNA
chr1	873292	874349	+	TUBB8P11	unprocessed_pseudogene
chr1	874529	877234	-	ENSG00000283040	transcribed_unprocessed_pseudogene
chr1	904834	915976	+	ENSG00000272438	lncRNA
chr1	911435	914948	+	ENSG00000230699	lncRNA
chr1	914171	914971	+	ENSG00000241180	lncRNA
chr1	916865	921016	-	LINC02593	lncRNA
chr1	923923	944575	+	SAMD11	protein_coding
chr1	944203	959309	-	NOC2L	protein_coding
chr1	960584	965719	+	KLHL17	protein_coding
chr1	966482	975865	+	PLEKHN1	protein_coding
chr1	975198	982117	-	PERM1	protein_coding
chr1	995966	998051	-	ENSG00000272512	lncRNA
chr1	998962	1000172	-	HES4	protein_coding
chr1	1001138	1014540	+	ISG15	protein_coding
chr1	1008076	1008229	-	ENSG00000231702	processed_pseudogene
chr1	1011997	1013193	-	ENSG00000224969	lncRNA
chr1	1020120	1056118	+	AGRN	protein_coding
chr1	1055033	1056116	+	ENSG00000242590	lncRNA
chr1	1059687	1069355	+	ENSG00000217801	transcribed_unprocessed_pseudogene
chr1	1062208	1063288	-	ENSG00000273443	lncRNA
chr1	1070967	1074306	-	RNF223	protein_coding
chr1	1081818	1116361	-	C1orf159	protein_coding
chr1	1097585	1104598	+	ENSG00000285812	lncRNA
chr1	1137017	1144056	+	LINC01342	lncRNA
chr1	1167104	1167198	+	MIR200B	miRNA
chr1	1167863	1167952	+	MIR200A	miRNA
chr1	1169005	1169087	+	MIR429	miRNA
chr1	1169357	1170343	+	ENSG00000272141	lncRNA
chr1	1173056	1179555	-	TTLL10-AS1	lncRNA
chr1	1173880	1197936	+	TTLL10	protein_coding
chr1	1203508	1206592	-	TNFRSF18	protein_coding
chr1	1211340	1214153	-	TNFRSF4	protein_coding
chr1	1216909	1232067	-	SDF4	protein_coding
chr1	1232237	1235041	+	B3GALT6	protein_coding
chr1	1242446	1246722	-	C1QTNF12	protein_coding
chr1	1249777	1251334	-	ENSG00000260179	lncRNA
chr1	1253909	1273864	-	UBE2J2	protein_coding
chr1	1275223	1280420	+	LINC01786	lncRNA
chr1	1280436	1292029	+	SCNN1D	protein_coding
chr1	1292390	1309609	-	ACAP3	protein_coding
chr1	1296110	1296170	-	MIR6726	miRNA
chr1	1308597	1311677	+	PUSL1	protein_coding
chr1	1311585	1324687	-	INTS11	protein_coding
chr1	1312502	1312566	-	MIR6727	miRNA
chr1	1317581	1318689	-	ENSG00000240731	lncRNA
chr1	1324756	1328896	+	CPTP	protein_coding
chr1	1331280	1335314	+	TAS1R3	protein_coding
chr1	1335276	1349418	-	DVL1	protein_coding
chr1	1339650	1339708	-	MIR6808	miRNA
chr1	1352689	1361777	-	MXRA8	protein_coding
chr1	1373730	1375207	-	AURKAIP1	protein_coding
chr1	1378666	1379032	+	NDUFB4P8	processed_pseudogene
chr1	1385711	1399335	-	CCNL2	protein_coding
chr1	1399515	1402046	+	MRPL20-AS1	lncRNA
chr1	1401909	1407293	-	MRPL20	protein_coding
chr1	1405460	1405752	-	RN7SL657P	misc_RNA
chr1	1409096	1410618	+	MRPL20-DT	lncRNA
chr1	1418420	1421769	-	ANKRD65	protein_coding
chr1	1420245	1422691	+	ANKRD65-AS1	lncRNA
chr1	1425871	1430255	+	TMEM88B	protein_coding
chr1	1430539	1434573	-	LINC01770	lncRNA
chr1	1434861	1442882	+	VWA1	protein_coding
chr1	1449689	1470163	+	ATAD3C	protein_coding
chr1	1471765	1497848	+	ATAD3B	protein_coding
chr1	1503250	1509466	+	ENSG00000284740	transcribed_unprocessed_pseudogene
chr1	1512162	1534685	+	ATAD3A	protein_coding
chr1	1534778	1540624	-	TMEM240	protein_coding
chr1	1541673	1574863	-	SSU72	protein_coding
chr1	1574102	1577075	+	ENSG00000215014	lncRNA
chr1	1583510	1583909	-	ENSG00000274481	processed_pseudogene
chr1	1598012	1600135	-	FNDC10	protein_coding
chr1	1600314	1602703	+	ENSG00000286989	lncRNA
chr1	1613758	1615795	-	ENSG00000272106	lncRNA
chr1	1615454	1630605	+	MIB2	protein_coding
chr1	1632163	1635263	+	MMP23B	protein_coding
chr1	1635225	1659012	-	CDK11B	protein_coding
chr1	1659325	1662602	+	ENSG00000272004	lncRNA
chr1	1659529	1692795	-	SLC35E2B	protein_coding
chr1	1671990	1674397	+	ENSG00000269737	transcribed_processed_pseudogene
chr1	1699942	1701782	+	MMP23A	unprocessed_pseudogene
chr1	1702379	1724357	-	CDK11A	protein_coding
chr1	1702736	1737688	-	ENSG00000268575	lncRNA
chr1	1724512	1737251	+	ENSG00000227775	transcribed_processed_pseudogene
chr1	1724838	1745992	-	SLC35E2A	transcribed_unprocessed_pseudogene
chr1	1751232	1780457	-	NADK	protein_coding
chr1	1785285	1891117	-	GNB1	protein_coding
chr1	1891223	1892726	+	GNB1-DT	lncRNA
chr1	1915108	1917296	+	CALML6	protein_coding
chr1	1917590	1919279	-	TMEM52	protein_coding
chr1	1921951	2003837	-	CFAP74	protein_coding
chr1	2013213	2015639	-	ENSG00000233542	lncRNA
chr1	2019329	2030758	+	GABRD	protein_coding
chr1	2049203	2050070	-	PRKCZ-DT	lncRNA
chr1	2050411	2185395	+	PRKCZ	protein_coding
chr1	2141084	2145279	-	ENSG00000271806	lncRNA
chr1	2181794	2184389	-	PRKCZ-AS1	lncRNA
chr1	2184461	2212720	-	FAAP20	protein_coding
chr1	2212523	2220738	+	ENSG00000234396	lncRNA
chr1	2228319	2310213	+	SKI	protein_coding
chr1	2315040	2323085	+	ENSG00000287356	lncRNA
chr1	2321253	2391707	-	MORN1	protein_coding
chr1	2326201	2326693	-	ENSG00000272161	lncRNA
chr1	2350414	2352820	-	ENSG00000269896	transcribed_processed_pseudogene
chr1	2363061	2363628	-	ENSG00000272420	lncRNA
chr1	2391775	2405442	+	RER1	protein_coding
chr1	2403964	2413797	-	PEX10	protein_coding
chr1	2425980	2505532	+	PLCH2	protein_coding
chr1	2492300	2493258	-	ENSG00000224387	lncRNA
chr1	2493437	2494479	-	ENSG00000229393	lncRNA
chr1	2508537	2526597	-	PANK4	protein_coding
chr1	2528745	2530263	-	HES5	protein_coding
chr1	2530064	2547460	+	ENSG00000272449	lncRNA
chr1	2549920	2557031	-	TNFRSF14-AS1	lncRNA
chr1	2555639	2565382	+	TNFRSF14	protein_coding
chr1	2566410	2569888	+	ENSG00000225931	TEC
chr1	2581560	2584533	+	ENSG00000228037	lncRNA
chr1	2585612	2586060	+	ENSG00000289610	lncRNA
chr1	2586491	2591469	+	PRXL2B	protein_coding
chr1	2590639	2633016	-	MMEL1	protein_coding
chr1	2632568	2636620	+	MMEL1-AS1	lncRNA
chr1	2635976	2801717	-	TTC34	protein_coding
chr1	2768091	2784733	+	ENSG00000285945	lncRNA
chr1	2773603	2776473	+	ENSG00000283259	lncRNA
chr1	2811850	2812692	-	ENSG00000233234	lncRNA
chr1	2814056	2817767	+	ENSG00000287396	lncRNA
chr1	2814432	2814998	-	ENSG00000231630	lncRNA
chr1	2960658	2968707	-	ENSG00000284745	lncRNA
chr1	3021467	3022903	+	ACTRT2	protein_coding
chr1	3059611	3069088	-	PRDM16-DT	lncRNA
chr1	3069168	3438621	+	PRDM16	protein_coding
chr1	3127975	3128035	+	MIR4251	miRNA
chr1	3132927	3133709	-	ENSG00000226286	lncRNA
chr1	3205988	3208664	+	ENSG00000279839	TEC
chr1	3306636	3310096	-	ENSG00000272235	lncRNA
chr1	3313052	3323149	-	ENSG00000287828	lncRNA
chr1	3367815	3373928	-	ENSG00000286518	lncRNA
chr1	3454665	3481113	+	ARHGEF16	protein_coding
chr1	3487246	3487627	+	ENSG00000272088	lncRNA
chr1	3487951	3611508	-	MEGF6	protein_coding
chr1	3560695	3560790	-	MIR551A	miRNA
chr1	3622857	3624786	-	ENSG00000238260	lncRNA
chr1	3625015	3630127	+	TPRG1L	protein_coding
chr1	3630767	3652761	-	WRAP73	protein_coding
chr1	3652516	3736201	+	TP73	protein_coding
chr1	3658938	3668772	-	TP73-AS3	lncRNA
chr1	3712200	3714298	-	TP73-AS2	lncRNA
chr1	3735511	3747373	-	TP73-AS1	transcribed_unitary_pseudogene
chr1	3736943	3737103	+	ENSG00000276189	misc_RNA
chr1	3746460	3771645	+	CCDC27	protein_coding
chr1	3772749	3775982	+	SMIM1	protein_coding
chr1	3778559	3796498	-	LRRC47	protein_coding
chr1	3782815	3783111	+	RN7SL574P	misc_RNA
chr1	3785008	3785538	+	ENSG00000272153	lncRNA
chr1	3812086	3857396	-	CEP104	protein_coding
chr1	3857267	3885429	+	DFFB	protein_coding
chr1	3889125	3900293	-	C1orf174	protein_coding
chr1	3900352	3917225	+	LINC01134	lncRNA
chr1	3940486	3955262	+	LINC01346	lncRNA
chr1	3944547	3949024	-	LINC01345	lncRNA
chr1	3976133	4012704	+	LINC02780	lncRNA
chr1	4012921	4019508	-	ENSG00000284703	lncRNA
chr1	4175528	4175899	-	EEF1DP6	processed_pseudogene
chr1	4412027	4424689	+	LINC01777	lncRNA
chr1	4479131	4484375	-	ENSG00000284694	lncRNA
chr1	4551735	4552145	-	ENSG00000227169	lncRNA
chr1	4571481	4594016	+	LINC01646	lncRNA
chr1	4654609	4792534	+	AJAP1	protein_coding
chr1	4730211	4734992	-	ENSG00000287586	lncRNA
chr1	4963954	4973298	-	ENSG00000284739	lncRNA
chr1	4973381	4981568	+	LINC02781	lncRNA
chr1	5086459	5090899	-	LINC02782	lncRNA
chr1	5301928	5307394	-	ENSG00000284616	lncRNA
chr1	5478736	5493057	-	ENSG00000284692	lncRNA
chr1	5480787	5482028	-	ENSG00000284666	lncRNA
chr1	5492978	5494674	+	ENSG00000260972	lncRNA
chr1	5554747	5554881	+	ENSG00000283356	unprocessed_pseudogene
chr1	5561709	5668295	-	ENSG00000236948	lncRNA
chr1	5564071	5564143	+	ENSG00000264341	miRNA
chr1	5862672	5862741	-	MIR4689	miRNA
chr1	5862811	5992473	-	NPHP4	protein_coding
chr1	5990927	6101193	+	KCNAB2	protein_coding
chr1	6101787	6180321	-	CHD5	protein_coding
chr1	6159430	6197757	-	ENSG00000285629	protein_coding
chr1	6185020	6209389	-	RPL22	protein_coding
chr1	6204840	6205780	-	RNF207-AS1	lncRNA
chr1	6205475	6221299	+	RNF207	protein_coding
chr1	6221193	6235972	-	ICMT	protein_coding
chr1	6234692	6239444	+	ICMT-DT	lncRNA
chr1	6244179	6245578	+	HES3	protein_coding
chr1	6247353	6261098	-	GPR153	protein_coding
chr1	6264269	6393767	-	ACOT7	protein_coding
chr1	6393555	6394391	+	ENSG00000271746	lncRNA
chr1	6412418	6424670	-	HES2	protein_coding
chr1	6424776	6461367	+	ESPN	protein_coding
chr1	6429834	6429896	-	MIR4252	miRNA
chr1	6443034	6447006	-	ENSG00000231868	lncRNA
chr1	6460786	6466175	-	TNFRSF25	protein_coding
chr1	6467122	6520074	-	PLEKHG5	protein_coding
chr1	6521347	6554513	-	NOL9	protein_coding
chr1	6540854	6540964	+	RNU6-731P	snRNA
chr1	6547905	6548619	+	ENSG00000229519	processed_pseudogene
chr1	6555307	6579755	+	TAS1R1	protein_coding
chr1	6579994	6589280	+	ZBTB48	protein_coding
chr1	6590724	6614607	-	KLHL21	protein_coding
chr1	6613731	6624030	+	PHF13	protein_coding
chr1	6624868	6635586	+	THAP3	protein_coding
chr1	6634168	6701924	-	DNAJC11	protein_coding
chr1	6724637	6730012	+	LINC01672	lncRNA
chr1	6767954	6770038	+	ENSG00000284744	lncRNA
chr1	6783892	6784843	-	CAMTA1-DT	lncRNA
chr1	6785454	7769706	+	CAMTA1	protein_coding
chr1	6834333	6834618	-	ENSG00000227950	processed_pseudogene
chr1	7008376	7014279	-	ENSG00000237365	lncRNA
chr1	7219360	7219524	+	RNU1-8P	snRNA
chr1	7368942	7370270	+	CAMTA1-IT1	lncRNA
chr1	7382487	7389754	-	CAMTA1-AS2	lncRNA
chr1	7441096	7441554	-	CAMTA1-AS1	lncRNA
chr1	7693124	7694844	-	ENSG00000270171	lncRNA
chr1	7698303	7698872	-	ENSG00000270035	lncRNA
chr1	7700704	7700970	-	ENSG00000269978	lncRNA
chr1	7771296	7781432	+	VAMP3	protein_coding
chr1	7776383	7776775	+	ENSG00000269925	lncRNA
chr1	7784291	7845177	+	PER3	protein_coding
chr1	7810242	7827342	-	ENSG00000236266	lncRNA
chr1	7843083	7853512	-	UTS2	protein_coding
chr1	7915871	7943165	-	TNFRSF9	protein_coding
chr1	7942372	7942726	+	ENSG00000270330	processed_pseudogene
chr1	7954291	7985505	+	PARK7	protein_coding
chr1	7982881	7982983	-	Y_RNA	misc_RNA
chr1	7991134	8005312	+	ENSG00000284747	lncRNA
chr1	7998187	7999934	-	ENSG00000284716	lncRNA
chr1	8004404	8026309	-	ERRFI1	protein_coding
chr1	8026738	8122702	+	ERRFI1-DT	lncRNA
chr1	8057245	8058463	-	ENSG00000232848	processed_pseudogene
chr1	8189824	8192770	+	ENSG00000229305	processed_pseudogene
chr1	8191692	8194926	+	ENSG00000288816	lncRNA
chr1	8201518	8215210	+	LINC01714	lncRNA
chr1	8206434	8206597	-	RNU1-7P	snRNA
chr1	8218190	8220529	-	ENSG00000233645	lncRNA
chr1	8292157	8292263	-	RNU6-991P	snRNA
chr1	8318114	8344167	+	SLC45A1	protein_coding
chr1	8328067	8328179	+	Y_RNA	misc_RNA
chr1	8352397	8848921	-	RERE	protein_coding
chr1	8424645	8435013	+	RERE-AS1	lncRNA
chr1	8511795	8511919	-	ENSG00000221083	snoRNA
chr1	8512653	8513021	+	ENSG00000270282	processed_pseudogene
chr1	8750430	8751087	+	RPL7P11	processed_pseudogene
chr1	8786211	8786913	-	RPL7P7	processed_pseudogene
chr1	8796571	8796673	-	Y_RNA	misc_RNA
chr1	8798475	8799506	+	ENSG00000226545	unprocessed_pseudogene
chr1	8805860	8807051	-	ENSG00000228423	lncRNA
chr1	8831007	8831375	+	RPL23AP19	processed_pseudogene
chr1	8861000	8879190	-	ENO1	protein_coding
chr1	8866502	8866590	-	MIR6728	miRNA
chr1	8878835	8879894	+	ENO1-AS1	lncRNA
chr1	8883427	8883533	-	RNU6-304P	snRNA
chr1	8893409	8894151	+	HMGN2P17	processed_pseudogene
chr1	8907393	8907744	-	ENSG00000232208	processed_pseudogene
chr1	8909742	8909904	+	ENSG00000232663	processed_pseudogene
chr1	8945867	8975092	+	CA6	protein_coding
chr1	8979576	8979874	-	RN7SL451P	misc_RNA
chr1	9002973	9026423	-	SLC2A7	protein_coding
chr1	9035106	9088478	-	SLC2A5	protein_coding
chr1	9082696	9082879	+	ENSG00000252404	scaRNA
chr1	9100305	9129102	-	GPR157	protein_coding
chr1	9148011	9198906	-	MIR34AHG	lncRNA
chr1	9151668	9151777	-	MIR34A	miRNA
chr1	9182004	9196284	+	LNCTAM34A	lncRNA
chr1	9234774	9271337	+	H6PD	protein_coding
chr1	9292894	9369532	+	SPSB1	protein_coding
chr1	9421098	9422862	-	ENSG00000284652	lncRNA
chr1	9425094	9440564	-	LINC02606	lncRNA
chr1	9437669	9437778	-	RNA5SP40	rRNA_pseudogene
chr1	9501092	9503471	-	ENSG00000235263	lncRNA
chr1	9539465	9585173	+	SLC25A33	protein_coding
chr1	9576427	9576985	+	ENSG00000231181	processed_pseudogene
chr1	9588911	9614877	+	TMEM201	protein_coding
chr1	9651731	9729114	+	PIK3CD	protein_coding
chr1	9652610	9654586	-	PIK3CD-AS1	lncRNA
chr1	9660828	9662626	-	ENSG00000233268	processed_pseudogene
chr1	9672405	9687573	-	PIK3CD-AS2	lncRNA
chr1	9728926	9823984	-	CLSTN1	protein_coding
chr1	9780822	9781240	+	MZT1P1	processed_pseudogene
chr1	9826289	9828271	-	ENSG00000280113	TEC
chr1	9848276	9910336	-	CTNNBIP1	protein_coding
chr1	9848318	9850154	+	ENSG00000223989	lncRNA
chr1	9900614	9908034	+	ENSG00000285701	lncRNA
chr1	9922113	9943407	-	LZIC	protein_coding
chr1	9942923	9949974	+	ENSG00000228150	lncRNA
chr1	9943428	9985501	+	NMNAT1	protein_coding
chr1	9947318	9947636	+	RN7SKP269	misc_RNA
chr1	9950572	9960787	-	TMEM274P	unitary_pseudogene
chr1	9967381	9967458	+	MIR5697	miRNA
chr1	9983141	9984568	+	ENSG00000241326	lncRNA
chr1	9997206	10016021	+	RBP7	protein_coding
chr1	10032832	10181239	+	UBE4B	protein_coding
chr1	10054445	10054781	-	ENSG00000224340	processed_pseudogene
chr1	10058671	10059648	+	PGAM1P11	processed_pseudogene
chr1	10163268	10163374	+	RNU6-828P	snRNA
chr1	10210570	10381603	+	KIF1B	protein_coding
chr1	10227718	10227803	+	ENSG00000264881	miRNA
chr1	10298966	10299072	+	RNU6-37P	snRNA
chr1	10306465	10306757	+	RN7SL731P	misc_RNA
chr1	10381906	10387150	-	ENSG00000284735	lncRNA
chr1	10395416	10397432	+	ENSG00000284642	lncRNA
chr1	10398592	10420511	+	PGD	protein_coding
chr1	10429881	10430677	-	ENSG00000271989	lncRNA
chr1	10430102	10452153	+	CENPS-CORT	protein_coding
chr1	10430433	10442808	+	CENPS	protein_coding
chr1	10450031	10451998	+	CORT	protein_coding
chr1	10456522	10472529	-	DFFA	protein_coding
chr1	10458555	10459338	+	ENSG00000203469	lncRNA
chr1	10472288	10630758	+	PEX14	protein_coding
chr1	10612222	10616452	-	ENSG00000287727	lncRNA
chr1	10616836	10617115	+	RN7SL614P	misc_RNA
chr1	10636604	10796650	-	CASZ1	protein_coding
chr1	10639241	10654333	+	ENSG00000272078	lncRNA
chr1	10895761	10895998	+	HSPE1P24	processed_pseudogene
chr1	10946471	10982037	-	C1orf127	protein_coding
chr1	10990978	10991797	-	CFL1P6	processed_pseudogene
chr1	11012344	11030528	+	TARDBP	protein_coding
chr1	11026523	11047239	-	MASP2	protein_coding
chr1	11054584	11060020	-	SRM	protein_coding
chr1	11066618	11099869	-	EXOSC10	protein_coding
chr1	11068471	11073097	+	ENSG00000226849	lncRNA
chr1	11099430	11102100	+	EXOSC10-AS1	lncRNA
chr1	11106535	11262551	-	MTOR	protein_coding
chr1	11143898	11149537	+	MTOR-AS1	lncRNA
chr1	11152350	11152452	+	RNU6-537P	snRNA
chr1	11189355	11195981	+	ANGPTL7	protein_coding
chr1	11226254	11226360	+	RNU6-291P	snRNA
chr1	11232963	11233112	+	RPL39P6	processed_pseudogene
chr1	11273198	11296049	+	UBIAD1	protein_coding
chr1	11278616	11279351	-	UBE2V2P3	processed_pseudogene
chr1	11311734	11319093	-	ENSG00000284646	lncRNA
chr1	11425257	11425821	-	MTCYBP45	processed_pseudogene
chr1	11479155	11537551	+	DISP3	protein_coding
chr1	11500803	11502016	-	ENSG00000285833	lncRNA
chr1	11609468	11613358	+	LINC01647	lncRNA
chr1	11623558	11643416	+	ENSG00000284708	lncRNA
chr1	11637018	11655785	-	FBXO2	protein_coding
chr1	11654375	11663327	+	FBXO44	protein_coding
chr1	11664200	11674354	+	FBXO6	protein_coding
chr1	11674480	11691650	-	MAD2L2	protein_coding
chr1	11691710	11725857	+	DRAXIN	protein_coding
chr1	11736084	11754802	+	AGTRAP	protein_coding
chr1	11761787	11789585	+	C1orf167	protein_coding
chr1	11777077	11779619	-	C1orf167-AS1	lncRNA
chr1	11785723	11806455	-	MTHFR	protein_coding
chr1	11806096	11848079	+	CLCN6	protein_coding
chr1	11843812	11843984	+	ENSG00000276470	misc_RNA
chr1	11845549	11845697	+	ENSG00000278852	misc_RNA
chr1	11845709	11848345	-	NPPA	protein_coding
chr1	11847442	11847549	+	ENSG00000275915	misc_RNA
chr1	11857464	11858945	-	NPPB	protein_coding
chr1	11877770	11880406	+	SBF1P2	processed_pseudogene
chr1	11907940	11914298	+	ENSG00000285646	lncRNA
chr1	11908152	11908271	+	RNU5E-1	snRNA
chr1	11909808	11909927	-	RNU5E-4P	snRNA
chr1	11919591	11926428	-	KIAA2013	protein_coding
chr1	11934205	11975538	+	PLOD1	protein_coding
chr1	11979533	11980127	-	ENSG00000287384	lncRNA
chr1	11980181	12015211	+	MFN2	protein_coding
chr1	12017216	12017308	-	ENSG00000270914	processed_pseudogene
chr1	12019466	12032045	+	MIIP	protein_coding
chr1	12024012	12024124	-	Y_RNA	misc_RNA
chr1	12029158	12029222	+	MIR6729	miRNA
chr1	12036740	12037014	-	RN7SL649P	misc_RNA
chr1	12063303	12144207	+	TNFRSF8	protein_coding
chr1	12077881	12077984	-	RNU6-777P	snRNA
chr1	12080293	12080547	-	RPL23AP89	processed_pseudogene
chr1	12088441	12092264	-	ENSG00000285604	lncRNA
chr1	12166943	12167038	+	MIR7846	miRNA
chr1	12166991	12209228	+	TNFRSF1B	protein_coding
chr1	12191713	12191773	+	MIR4632	miRNA
chr1	12220794	12221109	-	RPL10P17	processed_pseudogene
chr1	12221148	12221271	-	SNORA70	snoRNA
chr1	12230030	12512047	+	VPS13D	protein_coding
chr1	12507246	12507397	+	SNORA59A	snoRNA
chr1	12525738	12530462	+	LINC02766	lncRNA
chr1	12567910	12618210	-	DHRS3	protein_coding
chr1	12569972	12570072	-	RNU6ATAC18P	snRNA
chr1	12578957	12579023	-	MIR6730	miRNA
chr1	12618389	12618987	+	ENSG00000288927	lncRNA
chr1	12618900	12619244	-	ENSG00000272482	lncRNA
chr1	12644085	12667076	+	AADACL4	protein_coding
chr1	12692909	12693020	+	ENSG00000226166	processed_pseudogene
chr1	12716110	12728760	+	AADACL3	protein_coding
chr1	12746200	12763699	+	CFAP107	protein_coding
chr1	12773738	12777906	+	PRAMEF12	protein_coding
chr1	12791397	12796628	+	PRAMEF1	protein_coding
chr1	12822686	12823159	-	LINC01784	lncRNA
chr1	12824605	12831410	-	PRAMEF11	protein_coding
chr1	12838125	12841357	-	PRAMEF30P	unprocessed_pseudogene
chr1	12847377	12848720	-	HNRNPCL1	protein_coding
chr1	12857086	12861909	+	PRAMEF2	protein_coding
chr1	12879212	12886201	-	PRAMEF4	protein_coding
chr1	12892896	12898270	-	PRAMEF10	protein_coding
chr1	12916610	12920482	+	PRAMEF7	protein_coding
chr1	12922554	12922660	+	RNU6-1072P	snRNA
chr1	12926162	12928253	+	PRAMEF29P	unprocessed_pseudogene
chr1	12938472	12947580	-	PRAMEF6	protein_coding
chr1	13029339	13032130	+	PRAMEF28P	unprocessed_pseudogene
chr1	13049476	13056575	-	PRAMEF27	protein_coding
chr1	13060769	13062878	+	HNRNPCL3	protein_coding
chr1	13068677	13077884	+	PRAMEF25	protein_coding
chr1	13095179	13097971	-	PRAMEF34P	unprocessed_pseudogene
chr1	13104403	13105689	-	PRAMEF35P	unprocessed_pseudogene
chr1	13115488	13116854	-	HNRNPCL2	protein_coding
chr1	13128818	13131615	+	PRAMEF36P	transcribed_unprocessed_pseudogene
chr1	13146981	13147460	-	ENSG00000233336	lncRNA
chr1	13148907	13156009	-	PRAMEF26	protein_coding
chr1	13163914	13165631	-	HNRNPCL4	protein_coding
chr1	13171848	13179459	+	PRAMEF9	protein_coding
chr1	13196188	13201409	-	PRAMEF13	protein_coding
chr1	13222705	13226106	-	PRAMEF18	protein_coding
chr1	13245863	13248652	+	PRAMEF31P	unprocessed_pseudogene
chr1	13254212	13263314	+	PRAMEF5	protein_coding
chr1	13273539	13275627	-	PRAMEF32P	unprocessed_pseudogene
chr1	13279125	13279231	-	RNU6-771P	snRNA
chr1	13281035	13285174	-	PRAMEF8	protein_coding
chr1	13303539	13308907	+	PRAMEF33	protein_coding
chr1	13315581	13322598	+	PRAMEF15	protein_coding
chr1	13324039	13324518	+	ENSG00000228229	lncRNA
chr1	13341892	13347134	-	PRAMEF14	protein_coding
chr1	13369067	13371900	-	PRAMEF19	protein_coding
chr1	13389632	13392629	+	PRAMEF17	protein_coding
chr1	13416351	13421328	+	PRAMEF20	protein_coding
chr1	13474973	13514003	-	LRRC38	protein_coding
chr1	13513220	13516270	+	ENSG00000259961	lncRNA
chr1	13555001	13555694	+	BRWD1P1	processed_pseudogene
chr1	13583465	13617957	+	PDPN	protein_coding
chr1	13623184	13623284	-	RNA5SP41	rRNA_pseudogene
chr1	13657311	13659910	-	ENSG00000237445	lncRNA
chr1	13696070	13696199	-	ENSG00000253085	scaRNA
chr1	13700188	13825079	+	PRDM2	protein_coding
chr1	13757778	13758465	+	ENSG00000289380	lncRNA
chr1	13892792	15118043	+	KAZN	protein_coding
chr1	14124233	14124335	-	RNU6-1265P	snRNA
chr1	14221887	14304445	-	ENSG00000231606	lncRNA
chr1	14338825	14419973	-	KAZN-AS1	lncRNA
chr1	14692129	14692613	-	TBCAP2	processed_pseudogene
